,Feature,Contribution
98,"_change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",0.21614977936992683
333,_mean_abs_change,0.21614977936992683
1,_absolute_sum_of_changes,0.21614977936992683
186,_energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.21583361849133556
145,"_cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.21544863999921318
73,_c3__lag_3,0.21479282126240432
72,_c3__lag_2,0.21441724458224037
243,"_fft_coefficient__attr_""abs""__coeff_65",0.2142106833779265
193,"_fft_aggregated__aggtype_""centroid""",0.21331179183269292
148,"_cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.21306598640731741
226,"_fft_coefficient__attr_""abs""__coeff_43",0.21194482138199963
141,"_cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.2117785211436247
165,"_cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)",0.21172324699714673
152,"_cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.21098462538227242
158,"_cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.21092139625853104
230,"_fft_coefficient__attr_""abs""__coeff_49",0.2108248895066145
259,"_fft_coefficient__attr_""abs""__coeff_94",0.21082383289201514
161,"_cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",0.21066653368391075
279,"_fft_coefficient__attr_""imag""__coeff_16",0.21039196049974832
258,"_fft_coefficient__attr_""abs""__coeff_93",0.2103667722067618
102,"_change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.20977855520048483
262,"_fft_coefficient__attr_""abs""__coeff_99",0.2096486133722627
171,"_cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.20948601742483536
155,"_cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.20916831313344247
180,"_cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.2086533054800604
229,"_fft_coefficient__attr_""abs""__coeff_47",0.2086371765758505
260,"_fft_coefficient__attr_""abs""__coeff_95",0.20823565086919643
292,"_fft_coefficient__attr_""imag""__coeff_93",0.20807769784256938
251,"_fft_coefficient__attr_""abs""__coeff_80",0.20683838941444851
248,"_fft_coefficient__attr_""abs""__coeff_77",0.2068010445145349
177,"_cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.20643720335197438
293,"_fft_coefficient__attr_""imag""__coeff_94",0.20630601132550777
